ec,lex,ls,sp,pfm,vbs,vbe,nme,prs,vt,ps,nu,gn,st,form
1,"JSP[",0,1,2,2,7,0,0,1,3,3,2,-1,"!J!](H](J&WS&JP[W"
1,"J>L[",0,1,1,2,1,0,0,3,2,1,2,-1,"!!]H](J&W>L["
1,"<BD/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"<BD/"
2,"KL/",-6,2,-1,-1,-1,1,0,-1,-1,1,2,0,"&WKL/"
2,"CWR=[",0,1,3,0,12,0,0,1,2,1,1,-1,"!T!C(WR=[J"
2,"GJXZJ/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"G(JXZJ/"
2,"JLPT/",0,2,-1,-1,-1,3,0,-1,-1,1,1,0,"JLP(T/T"
2,"ZBX/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"ZBX/:a"
2,"RWM[",0,1,8,4,15,0,0,1,3,3,1,-1,"!T=!RWM&M[NH:du"
1,"PGC[",0,1,2,0,1,0,7,1,3,1,2,-1,"!J!PGC[+HW"
2,"K<S[",0,1,1,2,1,1,2,4,0,0,0,2,"!!]H]K<S[/+&WNJ"
2,"LJLH/",-4,2,-1,-1,-1,1,0,-1,-1,1,2,0,"LJLH/"
1,"RNN[",0,1,1,1,1,1,0,5,0,0,0,2,"!!RNN[/:da"
1,"LMD[",0,1,2,1,1,0,0,1,3,1,2,-1,"!J!LMD[:d"
3,"R>CWN/",-3,13,-1,-1,-1,2,0,-1,-1,1,1,2,"R>C(WN/H"
1,"XNWK=/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"XNWK=/"
1,"QRN/",0,2,-1,-1,-1,1,0,-1,-1,1,1,2,"QRN/:a"
2,"<MQ===/",0,2,-1,-1,-1,5,0,-1,-1,3,2,1,"<MQ===/J"
1,"HLK[",0,1,1,0,1,1,0,4,0,0,0,0,"!!HLK[/:c"
2,"NGP[",0,1,1,0,1,1,0,5,0,0,0,2,"!!NGP[/:a"
1,"RMF[",0,1,8,0,1,0,0,1,3,1,1,-1,"!T=!RMF["
2,">WPJR/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,">(WPJR/"
2,"MQNH/",0,2,-1,-1,-1,1,3,-1,-1,1,2,2,"MQN(H&J/+(J"
1,"MJCRJM/",-4,2,-1,-1,-1,4,0,-1,-1,3,2,2,"MJCR(J(M/JM"
2,"XRD[",0,1,0,0,5,0,0,2,2,1,1,-1,"XRD[T="
2,"R>H[",0,1,0,0,1,1,9,6,0,1,2,2,"R>(H[/+NW"
2,"N<JM/",0,13,-1,-1,-1,1,0,-1,-1,1,2,1,"N<JM/:c"
2,"DRK[",0,1,0,0,3,0,0,2,2,1,2,-1,"DRK[T"
2,"XPR=[",0,1,0,0,7,0,8,2,3,3,0,-1,"XPR=[W+H"
2,"ZZ",0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,"&>&M"
3,"BW>[",0,1,0,2,10,0,13,2,1,3,0,-1,"]H]B(W&J>[N(W+M"
1,"XCB[",0,1,3,0,7,0,0,1,2,3,2,-1,"!T!XCB[W"
2,"DBR/",0,2,-1,-1,-1,5,4,-1,-1,3,2,2,"DBR/(J+K"
2,"ZLZLJM/",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,"ZLZL(J(M/JM"
1,"QWC[",0,1,2,0,14,0,0,1,3,3,2,-1,"!J!Q(WC[WN"
2,"BHL[",0,1,3,3,1,0,0,1,2,1,2,-1,"!T!](N]BHL["
1,"RWMH=/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"RWMH=/"
2,"VM>[",0,1,0,0,5,0,0,2,2,1,1,-1,"VM>[T="
1,"JCB[",0,1,0,0,1,3,0,6,0,1,1,2,"J&WCB[/T:a"
2,"NF>[",0,1,8,0,1,0,2,1,3,1,1,-1,"!T=!(NF>[+NJ"
1,"BN/",0,2,-1,-1,-1,1,0,-1,-1,1,2,1,"BN/:c"
1,"GR<[",0,1,2,0,1,0,0,1,3,1,2,-1,"!J!GR<["
2,"KRH=[",0,1,3,0,7,0,0,1,2,3,2,-1,"!T!KR(H=[W"
1,"KBR=/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"KBR=/"
2,"GDJ/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"GDJ/"
3,"M<GL/",0,2,-1,-1,-1,12,4,-1,-1,3,2,2,"M<GL/WTJ+K"
2,"<YB====/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"<YB====/"
2,"KRT[",0,1,1,0,1,1,0,4,0,0,0,0,"!!KRT[/:c"
2,">MR[",-1,1,2,0,1,0,0,1,3,1,2,-1,"!J!>MR[&W"
2,"BZH[",0,1,0,0,10,0,0,2,1,3,0,-1,"BZ(H&J[NW"
1,"DRK[",0,1,2,2,1,0,13,1,3,1,2,-1,"!J!](H]DR&JK[+M"
2,"<BR=[",0,1,7,6,1,1,6,6,0,1,2,2,"!M!](HT]<BR=[/+W"
1,"TMR===/",0,3,-1,-1,-1,1,-1,-1,-1,1,1,0,"TMR===/"
1,">T",0,5,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,">T+J"
1,"PTX[",0,1,1,0,1,1,0,4,0,0,0,0,"!!PTX[/:c"
2,"NSK[",0,1,0,3,6,0,0,2,1,1,0,-1,"]N](NSK[TJ"
3,"MRY</",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"MRY</"
2,"RBH[",0,1,1,2,1,1,0,5,0,0,0,2,"!!]H]RBH[/:a"
2,"BN/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"BN/:a"
2,"JLD[",0,1,2,3,7,0,0,1,3,3,2,-1,"!J!](N](JLD[W"
1,"TMRH/",0,2,-1,-1,-1,4,0,-1,-1,3,1,2,"TMR(H/JM"
2,"NF>[",0,1,1,0,1,1,0,4,0,0,0,0,"!!(NF&W>[/:c"
3,"JXM[",0,1,1,1,1,1,16,4,0,0,0,2,"!!JXM[/:d+N&H"
2,"KNRT/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"KNR&WT/"
2,">XZ[",0,1,0,0,1,3,0,6,0,1,1,0,">XZ[/T"
1,"KD/",0,2,-1,-1,-1,4,0,-1,-1,3,1,2,"KD/JM"
1,"JLLH/",0,2,-1,-1,-1,3,0,-1,-1,1,1,1,"JLL(H/T:c"
1,"MDH/",0,2,-1,-1,-1,1,8,-1,-1,1,1,2,"MD(H/+H"
2,"VPX=[",0,1,0,1,6,0,0,2,1,1,0,-1,"VPX=[TJ:d"
1,"NYL[",0,1,1,2,7,0,0,3,2,3,2,-1,"!!]H](NY&JL[W"
1,"TQ<[",0,1,0,0,7,0,0,2,3,3,0,-1,"TQ<[W"
2,"ZNH[",0,1,0,0,1,6,0,6,0,3,1,0,"ZN(H[/WT"
2,"CBH[",0,1,0,0,7,0,13,2,3,3,0,-1,"CB(H[W+M"
2,"KN=/",0,2,-1,-1,-1,1,3,-1,-1,1,2,2,"KN=/+J"
2,"XRN/",0,3,-1,-1,-1,1,-1,-1,-1,1,0,0,"XRN/"
1,"RGZ[",0,1,1,0,7,0,0,3,2,3,2,-1,"!!RGZ[W"
1,"CPV[",0,1,0,0,6,0,5,2,1,1,0,-1,"CPV[TJ+K="
1,"MLV[",0,1,8,3,1,0,0,1,3,1,1,-1,"!T=!](N]MLV["
2,"KBD[",0,1,0,0,7,0,0,2,3,3,0,-1,"KBD[W"
2,"RGLJ/",0,13,-1,-1,-1,4,0,-1,-1,3,2,2,"RGL(J/JM"
1,"CLW/",0,2,-1,-1,-1,1,3,-1,-1,1,2,2,"CLW/+J"
2,"JXD[",0,1,3,0,1,0,0,1,2,1,2,-1,"!T!(JXD["
1,"HCM/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"HCM/"
2,"HLK[",0,1,0,2,6,0,8,2,1,1,0,-1,"]H](HLK[TJ+H"
2,"NHG[",0,1,0,1,1,0,0,2,3,1,2,-1,"NHG[:d"
1,"NF>[",0,1,0,0,1,0,0,2,3,1,2,-1,"NF>["
1,"CLX[",0,1,0,1,6,0,4,2,1,1,0,-1,"CLX[TJ:d+K"
2,"CLK[",0,1,1,2,1,1,6,4,0,0,0,2,"!!]H]CL&JK[/+W"
2,"<WH[",0,1,0,3,1,3,0,6,0,1,1,1,"]N]<W(H[/T:c"
1,"CMR[",0,1,1,0,7,0,0,3,2,3,2,-1,"!!CMR[W"
1,"QDC=/",0,13,-1,-1,-1,2,0,-1,-1,1,1,2,"QDC=/H"
2,"NKR[",0,1,7,2,1,1,5,6,0,1,2,2,"!M!](H](NK&JR[/+K="
2,"RM/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"RM/"
1,"CPXH/",0,2,-1,-1,-1,3,0,-1,-1,1,1,1,"CPX(H/T:c"
1,"ML>[",0,1,3,1,1,0,0,1,2,1,2,-1,"!T!ML>[:d"
2,"PTX[",0,1,0,0,1,1,0,6,0,1,2,0,"PTX[/"
2,"BL<[",0,1,8,0,1,0,9,1,3,1,1,-1,"!T=!BL<[+NW"
2,"CRC[",0,1,0,24,1,0,0,2,3,1,2,-1,"CRC[:o"
2,"NC>=[",0,1,1,2,1,1,0,5,0,0,0,2,"!!]H](NC>=[/:a"
1,"QR=/",0,13,-1,-1,-1,4,0,-1,-1,3,2,2,"QR=/JM"
2,"MDRC/",0,2,-1,-1,-1,1,0,-1,-1,1,2,1,"MDRC/:c"
1,"SBB[",0,1,0,0,7,0,7,2,3,3,0,-1,"SBB[(W+HW"
2,"MFWF/",0,2,-1,-1,-1,1,8,-1,-1,1,2,2,"MFWF/+H"
1,"QYP/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"QYP/:a"
1,"TBH/",0,2,-1,-1,-1,3,0,-1,-1,1,1,1,"TB(H/T:c"
1,"<FH[",0,1,0,0,3,0,13,2,2,1,2,-1,"<F(H&J[T+M"
2,"BW>[",0,1,1,2,18,0,0,3,2,1,2,-1,"!!]H]B(W&J>[H="
2,"<LJLH/",0,2,-1,-1,-1,12,4,-1,-1,3,1,2,"<LJL(H/WTJ+K"
1,"JRQ=/",0,2,-1,-1,-1,1,0,-1,-1,1,2,2,"JRQ=/:a"
1,"TWRH/",0,2,-1,-1,-1,3,4,-1,-1,1,1,2,"TWR(H/T+K"
2,"D>G/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"D&W(>&JG/"
1,"XRN=/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"XRN=/"
1,"SBB[",0,1,4,1,18,0,0,1,1,1,0,-1,"!>!S&WBB[H=:d"
2,">HB[",0,1,1,0,1,3,13,4,0,0,0,2,"!!>HB[/T+M"
1,"<LH[",0,1,6,3,1,6,0,4,0,0,0,0,"!H!](N]<L(H[/WT"
1,"SBJB/",-4,2,-1,-1,-1,1,0,-1,-1,1,0,1,"SBJB/:c"
1,"GNN[",0,1,0,0,6,0,0,2,1,1,0,-1,"GN(N[&WTJ"
2,"PTH[",0,1,7,1,1,1,8,6,0,1,2,2,"!M!PT(H&J[/:d+H"
1,"<WH[",0,1,0,2,1,0,0,2,3,1,2,-1,"]H]<WH["
1,"XGG[",0,1,3,0,7,0,7,1,2,3,2,-1,"!T!XG(G[(W+HW"
1,"NGHH/",0,2,-1,-1,-1,6,0,-1,-1,3,1,0,"NGH(H/WT"
2,"<LH[",0,1,0,2,2,0,13,2,3,1,1,-1,"]H]<L(H[(H&T+M"
1,"<BRH=/",0,2,-1,-1,-1,3,13,-1,-1,1,1,2,"<BR(H=/T+M"
1,"ML>/",0,13,-1,-1,-1,4,0,-1,-1,3,2,2,"ML>/JM"
2,"FMX[",0,1,0,1,1,0,13,2,3,1,2,-1,"FMX[:d+M"
3,"M<LL/",0,2,-1,-1,-1,5,12,-1,-1,3,2,2,"M<LL/J+HM"
2,"<NH[",0,1,7,2,1,1,0,6,0,1,2,2,"!M!](H]<NH[/:a"
1,"CLM[",0,1,7,1,1,4,0,6,0,3,2,2,"!M!CLM[/JM:d"
1,"<WR[",0,1,0,1,1,0,0,2,3,1,2,-1,"<WR&R[:d"
2,"GML[",0,1,0,0,7,0,4,2,3,3,0,-1,"GML[W+K"
1,"KRM/",0,2,-1,-1,-1,1,4,-1,-1,1,0,2,"KRM/+K"
1,"NHL[",0,1,2,1,1,0,13,1,3,1,2,-1,"!J!NHL[:d+M"
2,"B>R[",0,1,0,1,1,0,0,2,3,1,2,-1,"B>R[:d"
2,"MXLH=/",0,2,-1,-1,-1,6,0,-1,-1,3,1,0,"MXL(H=/(WT"
1,"NFJ>/",0,2,-1,-1,-1,5,3,-1,-1,3,2,2,"NFJ>/J+(J"
1,"T<H[",0,1,8,0,1,0,0,1,3,1,1,-1,"!T=!T<(H["
2,"GNB[",0,1,2,4,1,0,0,1,3,1,2,-1,"!J!GNB[:du"
1,"TWDH/",0,2,-1,-1,-1,3,0,-1,-1,1,1,1,"TWD(H/T:c"
1,"FN>[",0,1,0,0,7,0,2,2,3,3,0,-1,"FN>[W+NJ"
1,"YWR==/",0,3,-1,-1,-1,1,-1,-1,-1,1,2,0,"YWR==/"
1,"CMD[",0,1,6,3,1,1,0,4,0,0,0,0,"!H!](N]CMD[/:c"
1,"MLK[",0,1,2,0,7,0,0,1,3,3,2,-1,"!J!MLK[W"
1,"RYX[",0,1,0,3,1,2,0,6,0,1,1,2,"]N]RYX[/H"
2,"JKL[",0,1,0,0,1,0,0,2,3,1,2,-1,"JK&WL["
2,"CWB[",0,1,0,1,6,0,0,2,1,1,0,-1,"C(WB&B[TJ:d"
2,"CM<[",0,1,0,0,1,1,6,6,0,1,2,2,"CM<[/+W"
1,"NCK=[",0,1,3,2,1,0,0,1,2,1,2,-1,"!T!](H](NC&JK=["
1,"VM>H/",0,2,-1,-1,-1,3,0,-1,-1,1,1,1,"VM>(H/T:c"
1,"R>J/",0,2,-1,-1,-1,1,0,-1,-1,1,2,0,"R>J/"
1,"NFJ>/",0,2,-1,-1,-1,4,0,-1,-1,3,2,2,"NFJ>/(JM"
2,"HBL/",-4,2,-1,-1,-1,4,0,-1,-1,3,2,2,"HBL/JM"
1,">YJL=/",0,13,-1,-1,-1,5,0,-1,-1,3,2,1,">YJL=/J"
1,"<JN/",0,2,-1,-1,-1,13,6,-1,-1,2,1,2,"<JN/(J=+W"
2,"JWM/",-4,2,-1,-1,-1,5,6,-1,-1,3,2,2,"J(WM/(J+W"
1,"TZNWT/",0,2,-1,-1,-1,5,5,-1,-1,3,1,2,"TZN(WT/J+K="
1,"MTKNT/",0,2,-1,-1,-1,3,6,-1,-1,1,1,2,"MTKN(T/T+W"
